"Class","numLasersShot","distanceMoved","initialDist","finalDist","diffDist","powerUp","Die","Kill","minDistOpp","maxDistOpp","avgDistOpp","initialEnergy","finalEnergy","changeEnergy","avgEnergy","minEnergy","maxEnergy"
"Forager",2,1633.81304202802,4087.77934825254,4543.60583677766,455.826488525113,0,0,0,4087.77934825254,4793.38085280108,4540.19133855767,7,6,-1,7.26666666666667,6,8
"Forager",1,2295.01572195805,4543.60583677766,2768.16365123162,-1775.44218554603,0,0,0,2768.16365123162,4543.60583677766,3920.25303169731,6,5,-1,5.08333333333333,5,6
"Forager",0,209.705627484771,2681.38956513223,1705.21846107764,-976.171104054587,0,0,0,1633.03704795697,2681.38956513223,1893.35583724282,5,5,0,5,5,5
"Forager",0,0,1717.16335856552,3320.32679114572,1603.1634325802,0,0,0,1717.16335856552,3320.32679114572,2416.4483708076,5,5,0,5,5,5
"Forager",0,1621.20467982054,3355.2123628766,2134.28231497148,-1220.93004790513,0,0,0,2134.28231497148,3494.99213160774,3060.3414005996,5,6,1,5.56666666666667,5,6
"Forager",0,2568.52813742386,2094.9369918926,2141.84056362746,46.9035717348647,0,0,0,1542.16763031779,2141.84056362746,1762.89107127399,6,7,1,6.31666666666667,6,7
"Forager",0,2425.78141821408,2183.29132275104,2356.43162429976,173.140301548716,0,0,0,2183.29132275104,2391.14219568808,2369.94733803846,7,7,0,7,7,7
"Forager",4,1240.44111445886,2322.99892380517,2169.45062170126,-153.548302103911,0,0,0,2154.83874106625,2411.86276558182,2293.58280409787,7,3,-4,5.73333333333333,3,7
"Forager",2,1320.07818841062,2154.14112815293,3565.15637805693,1411.01524990399,0,0,0,2098.8768425041,3600.0138888621,2854.43392862159,4,2,-2,2.56666666666667,2,4
"Forager",0,2320.2471083333,3561.94609729008,3192.03070160674,-369.915395683338,0,0,0,3017.26515241866,3564.14646163706,3298.94016283561,3,4,1,3.76666666666667,3,4
"Forager",0,2360.63658548542,3192.03070160674,1540.42202009709,-1651.60868150965,0,0,0,1540.42202009709,3192.03070160674,2155.02987307378,5,5,0,5,5,5
"Forager",0,2320.15637682124,1511.80025135598,2344.2465740617,832.446322705718,0,0,0,1342.8514437569,2352.01445573789,1837.83194639361,5,6,1,5.9,5,6
"Forager",0,2578.54505365012,2344.00767916831,3418.1932361995,1074.18555703119,0,0,0,2344.00767916831,3418.1932361995,3015.17721916511,6,8,2,7.33333333333333,6,8
"Forager",3,1319.76689966913,3424.90364827976,3853.84016274676,428.936514467005,1,0,0,3307.31341121461,3853.84016274676,3539.25778540453,8,7,-1,6.71666666666667,5,8
"Forager",0,560.220557229432,3891.437266615,4415.18674576739,523.749479152389,0,0,0,3891.437266615,4415.18674576739,4349.2932231398,7,8,1,7.76666666666667,7,8
"Forager",0,0,4415.18674576739,4415.18674576739,0,0,0,0,4415.18674576739,4415.18674576739,4415.18674576739,8,8,0,8,8,8
"Forager",0,0,4415.18674576739,4378.8099981616,-36.3767476057856,0,0,0,4378.8099981616,4415.18674576739,4414.58046664062,8,8,0,8,8,8
"Forager",0,0,4340.86362375046,2215.17245378323,-2125.69116996724,0,0,0,2215.17245378323,4340.86362375046,3267.63401197106,8,8,0,8,8,8
